"name","pronunciation","meaning","type","length","weight","diet","teeth","food","how_moved","when_it_lived","found_it","taxonomy","foundators","year","species_type","comments","img_url","length_clean","diet_clean","num_taxonomy","site1","site2","site3","site4","era","time_range","start","end"
"Huayangosaurus","hoy-YANG-oh-SORE-us","'Huayang lizard'","armoured dinosaur","4.5m",NA,"herbivorous",NA,NA,NA,"Mid Jurassic, 170-160 million years ago","China","Dinosauria, Ornithischia, Thyreophora, Stegosauria, Huayangosauridae","Dong, Tang and Zhou ","(1982) ","taibaii",NA,"https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/huayango.jpg",4.5,"herbivorous",5,"China",NA,NA,NA,"Mid Jurassic","170-160 million years ago",170,160
"Hylaeosaurus","HIGH-lee-oh-sore-us","'woodland lizard'","armoured dinosaur","5.0m",NA,"herbivorous",NA,NA,NA,"Early Cretaceous, 150-135 million years ago","England,
						
							United Kingdom","Dinosauria, Ornithischia, Thyreophora, Ankylosauria","Mantell ","(1833) ","armatus","  A specimen of Hylaeosaurus was one of the 3 fossils first identified as dinosaurs by Richard Owen in 1841.","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/hylaeo.jpg",5,"herbivorous",4,"England","UnitedKingdom",NA,NA,"Early Cretaceous","150-135 million years ago",150,135
"Hypacrosaurus","hi-pak-roh-sore-us","'near-topmost lizard'","large ornithopod","9.0m",NA,"herbivorous",NA,NA,NA,"Late Cretaceous, 70 million years ago","Canada,
						
							USA","Dinosauria, Ornithischia, Ornithopoda, Hadrosauridae, Lambeosaurinae","Brown ","(1913) ","altispinus","  Complete Hypacrosaurus skeletons have been found, from embryos to adults.","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Hypacrosaurus.jpg",9,"herbivorous",5,"Canada","USA",NA,NA,"Late Cretaceous","70 million years ago",70,70
"Hypsilophodon","hip-sih-LOH-foh-don","'high-ridge tooth'","small ornithopod","2.3m","50kg","herbivorous","horny beak, broad, chisel-like teeth","plant material","on 2 legs","Early Cretaceous, 125 million years ago","England,
						
							Spain,
						
							United Kingdom","Dinosauria, Ornithischia, Ornithopoda, Euornithopoda, Hypsilophodontidae","Huxley ","(1869) ","foxii",NA,"https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/hypsil.jpg",2.3,"herbivorous",5,"England","Spain","UnitedKingdom",NA,"Early Cretaceous","125 million years ago",125,125
"Iguanodon","ig-WHA-noh-don","'iguana tooth'","large ornithopod","10.0m","4000kg","herbivorous","chewing cheek teeth and horny beak","plant material","on 2 or 4 legs","Early Cretaceous, 140-110 million years ago","Belgium,
						
							England,
						
							United Kingdom","Dinosauria, Ornithischia, Ornithopoda, Euornithopoda, Iguanadontia, Euiguanadontia, Dryomorpha, Ankylopollexia, Iguanodontoidea","Boulenger and van Beneden ","(1881) ","bernissartensis","  Iguanodon could probably walk on all fours or on two legs. It had a large thumb spike on the end of its hand, probably to fend-off predators, and the structure of the muscles inside its head suggest it had a very long tongue.","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/iguano.jpg",10,"herbivorous",9,"Belgium","England","UnitedKingdom",NA,"Early Cretaceous","140-110 million years ago",140,110
"Indosuchus","in-doh-sook-us","'Indian crocodile'","large theropod","7.0m",NA,"carnivorous",NA,NA,NA,"Late Cretaceous, 71-66 million years ago","India","Dinosauria, Saurischia, Theropoda, Neotheropoda, Ceratosauria, Neoceratosauria","Huene and Matley ","(1933) ","raptorius","  An almost complete skeleton of Indosuchus has been found.","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Indosuchus.jpg",7,"carnivorous",6,"India",NA,NA,NA,"Late Cretaceous","71-66 million years ago",71,66
"Irritator","irr-it-ate-or","'irritator'","large theropod","6.5m",NA,"carnivorous",NA,NA,NA,"Early Cretaceous, 112-99 million years ago","Brazil","Dinosauria, Saurischia, Theropoda, Spinosauridae, Spinosaurini","Martill, Cruickshank, Frey, Small and Clarke ","(1996) ","challengeri","  Irritator was quite like Spinosaurus. It is known only from a skull, so the sail is a guess.  The type species, Irritator challengeri was named after Professor Challenger from Arthur Conan Doyle's novel  'The Lost World', published in 1912.","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Irritator.jpg",6.5,"carnivorous",5,"Brazil",NA,NA,NA,"Early Cretaceous","112-99 million years ago",112,99
"Isisaurus","iss-ee-sore-us","'ISI (Indian Statistical Institute) lizard'","sauropod",NA,NA,"herbivorous",NA,NA,NA,"Late Cretaceous, 71-66 million years ago","India","Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Titanosauria, Lithostrotia","Jain and Bandyopadhyay ","(1997) ","colberti","  This dinosaur is the one most similar to modern-day giraffes. Fungus has been found in its poo!","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Isisaurus.jpg",NA,"herbivorous",11,"India",NA,NA,NA,"Late Cretaceous","71-66 million years ago",71,66
"Janenschia","yan-ensh-ee-ah","'named after Janansch'","sauropod","20.0m",NA,"herbivorous",NA,NA,NA,"Late Jurassic, 154-151 million years ago","Tanzania","Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Titanosauria","Wild ","(1991) ","robusta",NA,"https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Janenschia.jpg",20,"herbivorous",10,"Tanzania",NA,NA,NA,"Late Jurassic","154-151 million years ago",154,151
"Jaxartosaurus","jak-sahr-toh-sore-us","'Jaxartes [River] lizard'","large ornithopod","9.0m",NA,"herbivorous",NA,NA,NA,"Late Cretaceous, 94-84 million years ago","Kazakhstan","Dinosauria, Ornithischia, Ornithopoda, Hadrosauridae, Lambeosaurinae","Riabinin ","(1939) ","aralensis","  Jaxartosaurus is known only from a skull roof and braincase.","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Jaxartosaurus.jpg",9,"herbivorous",5,"Kazakhstan",NA,NA,NA,"Late Cretaceous","94-84 million years ago",94,84
"Jingshanosaurus","jing-shahn-oh-sore-us","'Jingshan lizard'","prosauropod","5.0m",NA,"herbivorous",NA,NA,NA,"Early Jurassic, 205-190 million years ago","China","Dinosauria, Saurischia, Sauropodomorpha, Prosauropoda, Plateosauria","Zhang and Yang ","(1995) ","xinwaensis","  A complete skeleton and skull of Jingshanosaurus have been found. It was one of the last prosauropods.","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Jingshanosaurus.jpg",5,"herbivorous",5,"China",NA,NA,NA,"Early Jurassic","205-190 million years ago",205,190
"Jinzhousaurus","jeen-joh-sore-us","'Jinzhou lizard'","large ornithopod",NA,NA,"herbivorous",NA,NA,NA,"Early Cretaceous, 127-121 million years ago","China","Dinosauria, Ornithischia, Ornithopoda, Euornithopoda, Iguanadontia, Euiguanadontia, Dryomorpha, Ankylopollexia, Iguanodontoidea","Wang and Xu ","(2001) ","yangi","  An almost complete skull and some postcranial remains of this dinosaur have been found.","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Jinzhousaurus.jpg",NA,"herbivorous",9,"China",NA,NA,NA,"Early Cretaceous","127-121 million years ago",127,121
"Jobaria","joh-bahr-ee-uh","'Jobar (mythical animal)'","sauropod","21.0m",NA,"herbivorous",NA,NA,NA,"Early Cretaceous, 132-94 million years ago","Niger","Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria","Sereno, Beck, Dutheil, Larsson, Lyon, Moussa, Sadleir, Sidor, Varricchio, Wilson and Wilson ","(1999) ","tiguidensis","  Jobaria is known from a skull and several skeletons.","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Jobaria.jpg",21,"herbivorous",7,"Niger",NA,NA,NA,"Early Cretaceous","132-94 million years ago",132,94
"Juravenator","ju-rah-ve-nay-tor","'Jura (Bavarian mountains) hunter'","small theropod","0.8m",NA,"carnivorous",NA,NA,NA,"Late Jurassic, 154-151 million years ago","Germany","Dinosauria, Saurischia, Theropoda, Compsognathidae","GÃÂ¶hlich & Chiappe ","(2006) ","starki","  Juravenator was the second non-avian (not bird-like) theropod (small meat-eating dinosaur) to be found in the region of Solnhofen. The type specimen shows impressions of scaly skin along the tail.","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Juravenator.jpg",0.8,"carnivorous",4,"Germany",NA,NA,NA,"Late Jurassic","154-151 million years ago",154,151
"Kentrosaurus","ken-TROH-sore-us","'spiky lizard'","armoured dinosaur","5.0m",NA,"herbivorous",NA,NA,NA,"Late Jurassic, 155-150 million years ago","Tanzania","Dinosauria, Ornithischia, Thyreophora, Stegosauria, Stegosauridae, Stegosaurinae","Hennig ","(1915) ","aethiopicus",NA,"https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/kentro.jpg",5,"herbivorous",6,"Tanzania",NA,NA,NA,"Late Jurassic","155-150 million years ago",155,150
"Khaan","kahn","'ruler'","small theropod","1.8m",NA,"omnivorous",NA,NA,NA,"Late Cretaceous, 81-75 million years ago","Mongolia","Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria, Tyrannoraptora, Maniraptoriformes, Maniraptora, Oviraptorosauria, Caenagnathoidea, Oviraptoridae, Ingeniinae","Clark, Norell and Barsbold ","(2001) ","mckennai","  This dinosaur is known from 3 skeletons with skulls. It is a beaked dinosaur very similar to Oviraptor, Ingenia and Conchoraptor.","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Khaan.jpg",1.8,"omnivorous",14,"Mongolia",NA,NA,NA,"Late Cretaceous","81-75 million years ago",81,75
