"name","pronunciation","meaning","type","length","weight","diet","teeth","food","how_moved","when_it_lived","found_it","taxonomy","foundators","year","species_type","comments","img_url","length_clean","diet_clean","num_taxonomy","site1","site2","site3","site4","era","time_range","start","end"
"Aardonyx","ar-don-ix","'Earth claw'","prosauropod","8.0m",NA,"herbivorous",NA,NA,NA,"Early Jurassic, 199-189 million years ago","South Africa","Dinosauria, Saurischia, Sauropodomorpha, Prosauropoda, Anchisauria","Yates, Bonnan, Neveling, Chinsamy and Blackbeard ","2010 (2009) ","celestae"," Aardonyx Aardonyx is known from two immature individuals. Adults would have been much larger, probably over 10m. Aardonyx Aardonyx would have been largely bipedal (walking on two legs) but also capable of walking on all four legs. This and its way of feed","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/aardonyx.jpg",8,"herbivorous",5,"SouthAfrica",NA,NA,NA,"Early Jurassic","199-189 million years ago",199,189
"Abelisaurus","ah-BEEL-ee-sore-us","'Abel's lizard'","large theropod","9.0m",NA,"carnivorous",NA,NA,NA,"Late Cretaceous, 74-70 million years ago","Argentina","Dinosauria, Saurischia, Theropoda, Neotheropoda, Ceratosauria, Abelisauridae, Abelisaurinae","Bonaparte and Novas ","(1985) ","comahuensis",NA,"https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/abeli.jpg",9,"carnivorous",7,"Argentina",NA,NA,NA,"Late Cretaceous","74-70 million years ago",74,70
"Achelousaurus","ah-KEL-oo-SORE-us","'Achelous' lizard'","ceratopsian","6.0m",NA,"herbivorous",NA,NA,NA,"Late Cretaceous, 83-70 million years ago","USA","Dinosauria, Ornithischia, Neornithischia, Cerapoda, Marginocephalia, Ceratopsia, Neoceratopsia, Coronosauria, Ceratopsidae, Centrosaurinae","Sampson ","(1995) ","horneri",NA,"https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/achelou.jpg",6,"herbivorous",10,"USA",NA,NA,NA,"Late Cretaceous","83-70 million years ago",83,70
"Achillobator","a-kil-oh-bah-tor","'Achilles hero'","large theropod","5.0m",NA,"carnivorous",NA,NA,NA,"Late Cretaceous, 99-84 million years ago","Mongolia","Dinosauria, Saurischia, Theropoda, Dromaeosauridae","Perle, Norell and Clark ","(1999) ","giganteus",NA,"https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Achillobator.jpg",5,"carnivorous",4,"Mongolia",NA,NA,NA,"Late Cretaceous","99-84 million years ago",99,84
"Acrocantho-saurus","ah-kroh-kan-tho-SORE-us","'high-spined lizard'","large theropod","12.0m",NA,"carnivorous",NA,NA,NA,"Early Cretaceous, 115-105 million years ago","Canada,
						
							USA","Dinosauria, Saurischia, Theropoda, Carcharodontosauridae","Stovall and Langston ","(1950) ","atokensis",NA,"https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/acrocantho.jpg",12,"carnivorous",4,"Canada","USA",NA,NA,"Early Cretaceous","115-105 million years ago",115,105
"Aegyptosaurus","ee-JIP-toe-SORE-us","'Egyptian lizard'","sauropod","15.0m",NA,"herbivorous",NA,NA,NA,"Late Cretaceous, 98-93 million years ago","Egypt","Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Titanosauria","Stromer ","(1932) ","baharijensis",NA,"https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/aegypto.jpg",15,"herbivorous",10,"Egypt",NA,NA,NA,"Late Cretaceous","98-93 million years ago",98,93
"Afrovenator","aff-ROW-ven-ah-tor","'African hunter'","large theropod","9.0m",NA,"carnivorous",NA,NA,NA,"Early Cretaceous, 132-121 million years ago","Niger","Dinosauria, Saurischia, Theropoda, Megalosauridae, Eustreptospondylinae","Sereno, Wilson, Larsson, Dutheil and Sues ","(1944) ","abakensis",NA,"https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/afrovenator.jpg",9,"carnivorous",5,"Niger",NA,NA,NA,"Early Cretaceous","132-121 million years ago",132,121
"Agilisaurus","aj-i-li-sore-us","'agile lizard'","small ornithischian","1.5m",NA,"herbivorous",NA,NA,NA,"Late Jurassic, 169-159 million years ago","China","Dinosauria, Ornithischia, Ornithopoda, Euornithopoda","Peng ","(1990) ","louderbacki","  Agilisaurus is known from a skull and almost complete skeleton.","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Agilisaurus.jpg",1.5,"herbivorous",4,"China",NA,NA,NA,"Late Jurassic","169-159 million years ago",169,159
"Alamosaurus","ah-la-mow-SORE-us","'Alamo lizard'","sauropod","21.0m",NA,"herbivorous",NA,NA,NA,"Late Cretaceous, 70-66 million years ago","USA","Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Titanosauria, Lithostrotia","Gilmore ","(1922) ","sanjuanensis","  This is the only Late Cretaceous sauropod that has been found in North America.","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/alamo.jpg",21,"herbivorous",11,"USA",NA,NA,NA,"Late Cretaceous","70-66 million years ago",70,66
"Albertaceratops","al-bert-a-serra-tops","'Alberta horned face'","ceratopsian","7.0m",NA,"herbivorous",NA,NA,NA,"Late Cretaceous, 80-75 million years ago","Canada,
						
							USA","Dinosauria, Ornithischia","Ryan ","2007 ","nesmoi","  This dinosaur is known from a single, well-preserved skull from Alberta and material from a bone bed in Montana, including almost the entire skeleton, found in August 2001. It has long brow horns, unlike other members of the centrosaurine subfamily.","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/albertaceratops.jpg",7,"herbivorous",2,"Canada","USA",NA,NA,"Late Cretaceous","80-75 million years ago",80,75
"Albertosaurus","al-BERT-oh-saw-russ","'Alberta lizard'","large theropod","9.0m","1500kg","carnivorous","saw-edged, flesh-slicing teeth","probably plant-eating dinosaurs","on 2 legs","Late Cretaceous, 76-74 million years ago","Canada","Dinosauria, Saurischia, Theropoda, Tyrannosauroidea, Tyrannosauridae, Albertosaurinae","Lamb ","(1914) ","libratus","  Albertosaurus was a close relative of Tyrannosaurus, but smaller and not as heavily built.","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/albert.jpg",9,"carnivorous",6,"Canada",NA,NA,NA,"Late Cretaceous","76-74 million years ago",76,74
"Alectrosaurus","ah-LEK-tro-sore-us","'eagle lizard'","large theropod","5.0m",NA,"carnivorous",NA,NA,NA,"Late Cretaceous, 90-70 million years ago","China,
						
							Mongolia","Dinosauria, Saurischia, Theropoda, Tyrannosauroidea","Gilmore ","(1933) ","olseni",NA,"https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/alectro.jpg",5,"carnivorous",4,"China","Mongolia",NA,NA,"Late Cretaceous","90-70 million years ago",90,70
"Alioramus","al-ee-oh-ray-mus","'other [evolutionary] branch'","large theropod","6.0m",NA,"carnivorous",NA,NA,NA,"Late Cretaceous, 71-66 million years ago","Mongolia","Dinosauria, Saurischia, Theropoda, Tyrannosauroidea","Kurzanov ","(1976) ","remotus","  The skull of this dinosaur shows small bumps near the nose.","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Alioramus.jpg",6,"carnivorous",4,"Mongolia",NA,NA,NA,"Late Cretaceous","71-66 million years ago",71,66
"Allosaurus","AL-oh-saw-russ","'other lizard'","large theropod","12.0m","2000kg","carnivorous","dagger-like with serrated edges","Stegosaurus, Diplodocus and others","on 2 legs","Late Jurassic, 152-145 million years ago","Portugal,
						
							USA","Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Carnosauria, Allosauroidea, Allosauridae","Marsh ","(1877) ","fragilis","  The teeth of Allosaurus  were 5-10cm long and curved backwards to prevent prey from escaping.","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/allo.jpg",12,"carnivorous",9,"Portugal","USA",NA,NA,"Late Jurassic","152-145 million years ago",152,145
"Alvarezsaurus","al-var-rez-SORE-us","'Alvarez's lizard'","small theropod","2.0m",NA,"carnivorous",NA,NA,NA,"Late Cretaceous, 89-85 million years ago","Argentina","Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria, Tyrannoraptora, Maniraptoriformes, Maniraptora, Alvarezsauridae","Bonaparte ","(1991) ","calvoi","  Alvarezsaurus may have been feathered.","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/alvarez.jpg",2,"carnivorous",11,"Argentina",NA,NA,NA,"Late Cretaceous","89-85 million years ago",89,85
"Amargasaurus","A-MARG-oh-sore-us","'Amarga lizard'","sauropod","12.0m","9000kg","herbivorous","teeth for grinding and chewing","tough plants",NA,"Early Cretaceous, 132-127 million years ago","Argentina","Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Diplodocoidea, Dicraeosauridae","Salgado and Bonaparte ","(1991) ","cazaui","  This dinosaur had a double row of spines along its back which may have supported a twin 'sail' of skin. The spines on its neck vertebrae were incredibly long.","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Amargasaurus.jpg",12,"herbivorous",8,"Argentina",NA,NA,NA,"Early Cretaceous","132-127 million years ago",132,127
"Ammosaurus","ah-moh-SORE-us","'sand lizard'","prosauropod","5.0m",NA,"herbivorous",NA,NA,NA,"Early Jurassic, 195-180 million years ago","USA","Dinosauria, Saurischia, Sauropodomorpha, Prosauropoda, Anchisauria, Anchisauridae","Marsh ","(1891) ","major","  This dinosaur was very similar to Anchisaurus.","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/ammo.jpg",5,"herbivorous",6,"USA",NA,NA,NA,"Early Jurassic","195-180 million years ago",195,180
"Ampelosaurus","am-pel-oh-sore-us","'vineyard lizard'","sauropod","15.0m",NA,"herbivorous",NA,NA,NA,"Late Cretaceous, 71-66 million years ago","France","Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Titanosauria, Lithostrotia","Le Loeuff ","(1995) ","atacis","  Ampelosaurus is known from fossil teeth, postcranial bones and osteoderms ('armour plating').","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Ampelosaurus.jpg",15,"herbivorous",11,"France",NA,NA,NA,"Late Cretaceous","71-66 million years ago",71,66
"Amygdalodon","am-ig-dal-oh-don","'almond tooth'","sauropod","15.0m",NA,"herbivorous",NA,NA,NA,"Mid Jurassic, 177-169 million years ago","Argentina","Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda","Cabrera ","(1947) ","patagonicus","  Amygdalodon is known from a single partial skeleton.","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Amygdalodon.jpg",15,"herbivorous",5,"Argentina",NA,NA,NA,"Mid Jurassic","177-169 million years ago",177,169
"Anchiceratops","an-key-SERRA-tops","'near horned lizard'","ceratopsian","6.0m",NA,"herbivorous",NA,NA,NA,"Late Cretaceous, 74-70 million years ago","Canada","Dinosauria, Ornithischia, Neornithischia, Cerapoda, Marginocephalia, Ceratopsia, Neoceratopsia, Coronosauria, Ceratopsidae, Chasmosaurinae","Brown ","(1914) ","ornatus",NA,"https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/anchi2.jpg",6,"herbivorous",10,"Canada",NA,NA,NA,"Late Cretaceous","74-70 million years ago",74,70
"Anchisaurus","ANK-ee-sore-us","'near lizard'","prosauropod","2.0m",NA,"herbivorous",NA,NA,NA,"Early Jurassic, 190 million years ago","USA","Dinosauria, Saurischia, Sauropodomorpha, Prosauropoda, Anchisauria, Anchisauridae","Marsh ","(1885) ","polyzelous",NA,"https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/anchi.jpg",2,"herbivorous",6,"USA",NA,NA,NA,"Early Jurassic","190 million years ago",190,190
"Ankylosaurus","An-KYE-low-sore-us","'fused lizard'","armoured dinosaur","8.0m","8000kg","herbivorous","grinding teeth with a beak at the front","plant material, including ferns, shrubs and fruit","on 4 legs","Late Cretaceous, 68-66 million years ago","Canada,
						
							USA","Dinosauria, Ornithischia, Thyreophora, Ankylosauria, Ankylosauridae","Brown ","(1908) ","magniventris"," Ankylosaurus Ankylosaurus lived during the Late Cretaceous Period in what is now North America. This armoured dinosaur had bony plates covering its body and a heavy club at the end of its tail. Ankylosaurus Though it's the most famous member of the ankylo","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/ankylosaurus.jpg",8,"herbivorous",5,"Canada","USA",NA,NA,"Late Cretaceous","68-66 million years ago",68,66
"Anserimimus","ANN-ser-ih-mee-muss","'goose mimic'","large theropod","3.5m",NA,"carnivorous",NA,NA,NA,"Late Cretaceous, 84-66 million years ago","Mongolia","Dinosauria, Saurischia, Theropoda, Ornithomimosauria, Ornithomimidae","Barsbold ","(1988) ","planinychus",NA,"https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/anseri.jpg",3.5,"carnivorous",5,"Mongolia",NA,NA,NA,"Late Cretaceous","84-66 million years ago",84,66
"Antarctosaurus","Ant-ARK-toe-sore-us","'non-northern lizard'","sauropod","18.0m",NA,"herbivorous",NA,NA,NA,"Late Cretaceous, 84 million years ago","Argentina,
						
							Chile,
						
							Uruguay","Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Titanosauria, Lithostrotia","von Huene ","(1929) ","wichmannianus",NA,"https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/antarcto.jpg",18,"herbivorous",11,"Argentina","Chile","Uruguay",NA,"Late Cretaceous","84 million years ago",84,84
"Apatosaurus","ah-PAT-oh-sore-us","'deceptive lizard'","sauropod","21.0m",NA,"herbivorous",NA,NA,NA,"Late Jurassic, 152-145 million years ago","USA","Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Diplodocoidea, Diplodocidae","Marsh ","(1877) ","ajax","  Apatosaurus was a large sauropod dinosaur. It lived around 150 million years ago in the Late Jurassic Period, in an area that is now North America.  Like all sauropods, Apatosaurus ate plants.  Young Apatosaurus individuals grew up quickly. They took aro","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/apatosaurus-art.jpg",21,"herbivorous",8,"USA",NA,NA,NA,"Late Jurassic","152-145 million years ago",152,145
"Aragosaurus","ahr-ah-go-sore-us","'AragÃÂ³n lizard'","sauropod","18.0m",NA,"herbivorous",NA,NA,NA,"Early Cretaceous, 132-121 million years ago","Spain","Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda","Sanz, Buscalioni, Casanovas and SanafÃÂ© ","(1987) ","ischiadicus",NA,"https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Aragosaurus.jpg",18,"herbivorous",5,"Spain",NA,NA,NA,"Early Cretaceous","132-121 million years ago",132,121
"Aralosaurus","ar-al-oh-sore-us","'Aral lizard'","large ornithopod","8.0m",NA,"herbivorous",NA,NA,NA,"Late Cretaceous, 94-84 million years ago","Kazakhstan","Dinosauria, Ornithischia, Ornithopoda, Hadrosauridae, Euhadrosauria, Hadrosaurinae","Rozhdestvensky ","(1968) ","tuberiferus",NA,"https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Aralosaurus.jpg",8,"herbivorous",6,"Kazakhstan",NA,NA,NA,"Late Cretaceous","94-84 million years ago",94,84
"Archaeoceratops","ahr-kee-oh-serra-tops","'ancient horned face'","ceratopsian","1.3m",NA,"herbivorous",NA,NA,NA,"Early Cretaceous, 121-99 million years ago","China","Dinosauria, Ornithischia, Neornithischia, Cerapoda, Marginocephalia, Ceratopsia, Neoceratopsia","Dong and Azuma ","(1987) ","oshimai",NA,"https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Archaeoceratops.jpg",1.3,"herbivorous",7,"China",NA,NA,NA,"Early Cretaceous","121-99 million years ago",121,99
"Archaeopteryx","ark-ee-OPT-er-ix","'ancient wing'","small theropod","0.5m",NA,"carnivorous","many small, cone-shaped teeth","may have eaten small reptiles, mammals or insects","on 2 legs and by flying","Late Jurassic, 149-145 million years ago","Germany","Dinosauria, Saurischia, Theropoda, Paraves, Archaeopterygidae","Mayer ","(1861) ","lithographica","  Archaeopteryx was a small, bird-like dinosaur. It lived during the Late Jurassic Period in what is now Europe.  The discovery of the first Archaeopteryx fossil in Germany in 1861 caused a lot of confusion. No birds were known from so far back. Some peopl","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/archaeopteryx.jpg",0.5,"carnivorous",5,"Germany",NA,NA,NA,"Late Jurassic","149-145 million years ago",149,145
"Archaeornitho-mimus","Ark-ee-orn-ith-oh-meem-us","'ancient bird mimic'","small theropod","3.5m",NA,"carnivorous",NA,NA,NA,"Late Cretaceous, 95-70 million years ago","China,
						
							Uzbekistan","Dinosauria, Saurischia, Theropoda, Ornithomimosauria, Ornithomimidae","Russell ","(1972) ","asiaticus",NA,"https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/archaeorn.jpg",3.5,"carnivorous",5,"China","Uzbekistan",NA,NA,"Late Cretaceous","95-70 million years ago",95,70
"Argentinosaurus","AR-gent-eeno-sore-us","'Argentina lizard'","sauropod","35.0m","70000kg","herbivorous","for stripping vegetation from branches","tough plant material","on four legs","Late Cretaceous, 90 million years ago","Argentina","Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Titanosauria","Bonaparte and Coria ","(1993) ","huinculensis","  The exact size of Argentinosaurus is hard to estimate due to the incompleteness of its fossilised remains. But it is one of the largest land animals ever found. It carried on growing throughout most of its lifetime. Other similarly massive dinosaurs incl","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/argent.jpg",35,"herbivorous",10,"Argentina",NA,NA,NA,"Late Cretaceous","90 million years ago",90,90
"Arrhinoceratops","ay-rine-oh-ker-ah-tops","'without-nose-horn face'","ceratopsian","6.0m",NA,"herbivorous",NA,NA,NA,"Late Cretaceous, 72-67 million years ago","Canada","Dinosauria, Ornithischia, Neornithischia, Cerapoda, Marginocephalia, Ceratopsia, Neoceratopsia, Coronosauria, Ceratopsidae, Chasmosaurinae","Parks ","(1925) ","brachyops","  The only undisputed specimen of Arrhinoceratops is a skull.","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Arrhinoceratops.jpg",6,"herbivorous",10,"Canada",NA,NA,NA,"Late Cretaceous","72-67 million years ago",72,67
"Atlascopco-saurus","Atlass-KOP-KO-sore-us","'Atlas Copco lizard'","small ornithopod","3.0m",NA,"herbivorous",NA,NA,NA,"Early Cretaceous, 121-97 million years ago","Australia","Dinosauria, Ornithischia, Ornithopoda, Euornithopoda","Rich and Rich ","(1989) ","loadsi",NA,"https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Atlascopcosaurus.jpg",3,"herbivorous",4,"Australia",NA,NA,NA,"Early Cretaceous","121-97 million years ago",121,97
"Aucasaurus","aw-ka-sore-us","'Auca lizard'","large theropod","5.0m",NA,"carnivorous",NA,NA,NA,"Late Cretaceous, 84-71 million years ago","Argentina","Dinosauria, Saurischia, Theropoda, Neotheropoda, Ceratosauria, Neoceratosauria, Abelisauroidea, Abelisauria","Coria, Chiappe and Dingus ","(2002) ","garridoi","  Aucasaurus is known from an almost complete skeleton.","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Aucasaurus.jpg",5,"carnivorous",8,"Argentina",NA,NA,NA,"Late Cretaceous","84-71 million years ago",84,71
"Austrosaurus","aws-troh-sore-us","'south lizard'","sauropod","15.0m",NA,"herbivorous",NA,NA,NA,"Early Cretaceous, 112-99 million years ago","Australia","Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Titanosauria","Longman ","(1933) ","mckillopi","  Dorsal vertebrae (part of the backbone) and limb remains of Austrosaurus have been found.","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Austrosaurus.jpg",15,"herbivorous",10,"Australia",NA,NA,NA,"Early Cretaceous","112-99 million years ago",112,99
"Avaceratops","ay-va-ker-ah-tops","'Ava's horned face'","ceratopsian","2.3m",NA,"herbivorous",NA,NA,NA,"Late Cretaceous, 80-75 million years ago","USA","Dinosauria, Ornithischia, Neornithischia, Cerapoda, Marginocephalia, Ceratopsia, Neoceratopsia, Coronosauria, Ceratopsidae, Centrosaurinae","Dodson ","(1986) ","lammersi",NA,"https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Avaceratops.jpg",2.3,"herbivorous",10,"USA",NA,NA,NA,"Late Cretaceous","80-75 million years ago",80,75
"Avimimus","ah-vee-MEEM-us","'bird mimic'","small theropod","1.5m",NA,"omnivorous",NA,NA,NA,"Late Cretaceous, 80-75 million years ago","China,
						
							Mongolia","Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria, Tyrannoraptora, Maniraptoriformes, Maniraptora, Oviraptorosauria, Avimimidae","Kurzanov ","(1981) ","portentosus",NA,"https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/avim.jpg",1.5,"omnivorous",12,"China","Mongolia",NA,NA,"Late Cretaceous","80-75 million years ago",80,75
"Bactrosaurus","bak-troh-sore-us","'club [spined] lizard'","large ornithopod","6.0m",NA,"herbivorous",NA,NA,NA,"Late Cretaceous, 84-71 million years ago","China","Dinosauria, Ornithischia, Ornithopoda, Hadrosauridae","Gilmore ","(1933) ","johnsoni","  Skull fragments and postcranial bones of at least 12 Bactrosaurus individuals, juvenile to adult, have been found.","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Bactrosaurus.jpg",6,"herbivorous",4,"China",NA,NA,NA,"Late Cretaceous","84-71 million years ago",84,71
"Bagaceratops","Bag-a-ser-a-tops","'small-horned face'","ceratopsian","1.0m",NA,"herbivorous",NA,NA,NA,"Late Cretaceous, 85-80 million years ago","Mongolia","Dinosauria, Ornithischia, Neornithischia, Cerapoda, Marginocephalia, Ceratopsia, Neoceratopsia, Bagaceratopsidae","Maryanska and Osmolska ","(1975) ","rozhdestvenskyi",NA,"https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Bagaceratops.jpg",1,"herbivorous",8,"Mongolia",NA,NA,NA,"Late Cretaceous","85-80 million years ago",85,80
"Bambiraptor","bam-bee-rap-tor","'Bambi plunderer'","small theropod","1.0m",NA,"carnivorous",NA,NA,NA,"Late Cretaceous, 84-71 million years ago","USA","Dinosauria, Saurischia, Theropoda, Dromaeosauridae","Burnham, Derstler, Currie, Bakker, Zhou and Ostrom ","(2000) ","feinbergorum",NA,"https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Bambiraptor.jpg",1,"carnivorous",4,"USA",NA,NA,NA,"Late Cretaceous","84-71 million years ago",84,71
"Barapasaurus","Bar-rap-oh-SORE-us","'big leg lizard'","sauropod","14.0m",NA,"herbivorous",NA,NA,NA,"Early Jurassic, 185-170 million years ago","India","Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Cetiosauridae","Jain, Kutty, Roy-Chowdhury and Chatterjee ","(1975) ","tagorei","  Barapasaurus was a primitive but very large sauropod.","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/barapa.jpg",14,"herbivorous",6,"India",NA,NA,NA,"Early Jurassic","185-170 million years ago",185,170
"Barosaurus","BAR-oh-sore-us","'heavy lizard'","sauropod","24.0m",NA,"herbivorous",NA,NA,NA,"Late Jurassic, 155-145 million years ago","Tanzania,
						
							USA","Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Diplodocoidea, Diplodocidae","Marsh ","(1890) ","lentus",NA,"https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/baro.jpg",24,"herbivorous",8,"Tanzania","USA",NA,NA,"Late Jurassic","155-145 million years ago",155,145
"Baryonyx","bah-ree-ON-icks","'heavy claw'","large theropod","10.0m","2000kg","carnivorous","sharp, finely serrated teeth","fish, Iguanodon","on 2 legs","Early Cretaceous, 125 million years ago","England,
						
							Spain,
						
							United Kingdom","Dinosauria, Saurischia, Theropoda, Spinosauridae, Baryonychinae","Charig and Milner ","(1987) ","walkeri","  The mouth shape of this dinosaur was very similar to that of a crocodile, and it had a large claw, about 31cm long, probably on its thumb. Baryonyx may have crouched on river banks or waded into shallow water to hook fish with its claws. It was also a sc","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/bary.jpg",10,"carnivorous",5,"England","Spain","UnitedKingdom",NA,"Early Cretaceous","125 million years ago",125,125
"Becklespinax","beck-el-spien-aks","'Beckles' spinax'","large theropod","5.0m",NA,"carnivorous",NA,NA,NA,"Early Cretaceous, 142-132 million years ago","England,
						
							United Kingdom","Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae","Paul ","(1988) ","altispinax",NA,"https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Becklespinax.jpg",5,"carnivorous",5,"England","UnitedKingdom",NA,NA,"Early Cretaceous","142-132 million years ago",142,132
"Beipiaosaurus","bay-pyow-sore-us","'Beipiao lizard'","small theropod","2.0m",NA,"omnivorous",NA,NA,NA,"Early Cretaceous, 127-121 million years ago","China","Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria, Tyrannoraptora, Maniraptoriformes, Maniraptora, Therizinosauroidea","Xu, Tang and Wang ","(1999) ","inexpectus",NA,"https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Beipiaosaurus.jpg",2,"omnivorous",11,"China",NA,NA,NA,"Early Cretaceous","127-121 million years ago",127,121
